№;Наименование поста;Количества (шт);Долгота;Широта;Район (город);Область
1.;Кизилджар;6;"59°13'56.28""";"43°15'54.51""";Муйнак;Республика Каракалпакстан
2.;Сомонбой;6;"59°58'69.83""";"42°47'89.21""";Нукус;Республика Каракалпакстан
3.;Карабагиш;1;"72°97'91.01""";"40°77'72.08""";Ханабад;Андижанская область
4.;Варганза;1;"67°02'10.03""";"39°13.10.57""";Китаб;Кашкадарьинская область
5.;Чирокчи;1;"66°34'38.00""";"39°02.33.00""";Чирокчи;Кашкадарьинская область
6.;Кукджар;1;"66°47'43.45""";"38°49'39.09""";Яккабаг;Кашкадарьинская область
7.;Чиброн;1;"66°45'39.38""";"38°50'37.16""";Яккабаг;Кашкадарьинская область
8.;Кал;3;71°26’36,28”;40°53’01,35”;Туракурган;Наманганская область
9.;Учкоргон;2;72°06’04,03”;41°08’48,54”;Учкурган;Наманганская область
10.;Пунган;1;"70°49'45.27""";"40°43'57.15""";Поп;Наманганская область
11.;Кайкауз;1;"71°41'45.85""";"40°53'28.98""";Наманган;Наманганская область
12.;Равотхужа;2;"67°24'05.00""";"39°32'27.00""";Ургут;Самаркандская область
13.;Навоий;1;"65°16'39.00""";"40°09'40.00""";Кармана;Самаркандская область
14.;Термез;6;"67°17'59.00""";"37°11'48.00""";г.Термез;Сурхандарьинская область
15.;Галаба кан. акведуг;1;"67°59'27.00""";"39°44'05.00""";г.Термез;Сурхандарьинская область
16.;Шурчи;1;"67°50'00.00""";"37°58'50.00""";Шурчи;Сурхандарьинская область
17.;Южно. Сур. водх.;1;"67°37'00.00""";"37°48'53.00""";Кумкурган;Сурхандарьинская область
18.;Зарчоб;1;"67°51'21.00""";"36°30'41.00""";Сариосиё;Сурхандарьинская область
19.;Обизаранг усте.;1;"67°59'36.00""";"38°20'21.00""";Узун;Сурхандарьинская область
20.;Хубон;1;"67°35'34.50""";"38°31'46.51""";Сариосиё;Сурхандарьинская область
21.;Охангарон платина;1;"69°17'09.10""";"40°59'30.20""";Охангарон;Ташкентская область
22.;Ирташ;1;"70°21'51.00""";"41°07'29.00""";Охангарон;Ташкентская область
23.;КМК ташлама;1;"69°60.57.10""";"40°19.17.90""";Бекабад;Ташкентская область
24.;Надежденский;2;"69°03.29.60""";"40°38.15.40""";Бекобод;Ташкентская область
25.;Майдонтол усте;1;"70°38'12.00""";"41°59'50.00""";Бустанлик;Ташкентская область
26.;Чиралма усте;1;"70°37'55.00""";"41°59'40.00""";Бустанлик;Ташкентская область
27.;Куксув усте;1;"70°06'58.62""";"41°36'57.77""";Бустанлик;Ташкентская область
28.;Газалкент;1;"69°47’23.00""";40°34'31.00'';Бустанлик;Ташкентская область
29.;Муллала;1;"70°23’14.70""";"41°55'54.00""";Бустанлик;Ташкентская область
30.;Худайтатсай;1;70°08’59.90'';41°31'37.40'';Бустанлик;Ташкентская область
31.;Чиназ (Сирдаря);2;68°68'09.97'';40°92'07.45;Чиназ;Ташкентская область
32.;Чиназ (Чирчик);1;70°90'93.12'';68°75'93.28;Чиназ;Ташкентская область
33.;Сариканда;1;"71°06'58.90""";"39°57'05.80""";Сох;Ферганская область
1.;Сукалок киш.;1;"72°45'17.76""";"40°34'52.00""";Хужаобод;Андижанская область
2.;Жауз киш.;1;"67°17'51.00""";"39°12'17""";Китаб;Кашкадарьинская область
3.;Хисорак киш.;1;"67°16'29.00""";"39° 1'12.06""";Шахрисабз;Кашкадарьинская область
4.;Чупонота;1;"67°03'00""";"39°41'40""";Джамбай;Самаркандская область
5.;Окдарё (водораспределитель);1;67°03‛14‟;39°41‛44‟;Джамбай;Самаркандская область
;Жом киш.;1;66°26‛58‟;39°24‛39‟;Нурабад;Самаркандская область
;Сазаган киш.;1;66°43‛38‟;39°29‛55‟;Нурабад;Самаркандская область
6.;Кирк киш.;1;67°59‛27‟;39°44‛05‟;Бахмал;Джиззахская область
7.;Жумжун киш.;1;67°51‛40‟;39°41‛42‟;Бахмал;Джиззахская область
8.;Бахмозор киш.;1;67°46‛51‟;39°43‛17‟;Бахмал;Джиззахская область
11.;усте реки Майдан;1;"67°00'03""";"37°72'30""";Шерабад;Сурхандарьинская область
12.;Ирташ усте.;1;"70°21'56.72""";"41° 8'0.60""";Ахангаран;Ташкентская область
13.;Туябугуз вдх.;1;69°16'57.31'';40°59'34.54'';Урта Чирчик;Ташкентская область
14.;Учтепа киш.;1;69°56’22’’;41°30’09’’;Бустанлик;Ташкентская область
15.;Бурчмилла киш.;1;70°06’47’’;41°36’53’’;Бустанлик;Ташкентская область
16.;город. Бекабад;1;69°15’49.00’’;41°12’32.69’’;Бекобод;Ташкентская область
17.;устье реки Гарати;1;"71°07'56.7""";"39°57'06.2""";Кувасой;Ферганская область
1.;Западной Арнасай;1;67°57'71.50'';40°77'53.64'';Арнасай;Джизакская область
2.;Западная часть озера Айдар;1;67°20'56.11'';40°34'42.40'';Арнасай;Джизакская область
